Year,Units,Zeitreihe,Aufagbenbereich,Gerichtsebene,Value
2015,Prozent,Frauenanteil der Bevölkerung im erwerbsfähigen Alter,,,3
2016,Prozent,Frauenanteil der Bevölkerung im erwerbsfähigen Alter,,,2
2015,Prozent,Frauenanteil im Deutschen Bundestag,,,4
2016,Prozent,Frauenanteil im Deutschen Bundestag,,,3
2015,Prozent,Frauenanteil im Bundesrat,,,5
2016,Prozent,Frauenanteil im Bundesrat,,,4
2015,Prozent,Frauenanteil im öffentlichen Dienst,,,6
2016,Prozent,Frauenanteil im öffentlichen Dienst,,,5
2015,Prozent,Frauenanteil im öffentlichen Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,6.2
2016,Prozent,Frauenanteil im öffentlichen Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,5.2
2015,Prozent,Frauenanteil im öffentlichen Dienst,Polizei,,6.3
2016,Prozent,Frauenanteil im öffentlichen Dienst,Polizei,,5.3
2015,Prozent,Frauenanteil im öffentlichen Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,6.4
2016,Prozent,Frauenanteil im öffentlichen Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,5.4
2015,Prozent,Frauenanteil im öffentlichen Dienst,"Gesundheit, Umwelt, Sport und Erholung",,6.5
2016,Prozent,Frauenanteil im öffentlichen Dienst,"Gesundheit, Umwelt, Sport und Erholung",,5.5
2015,Prozent,Frauenanteil in der Justiz,,,7
2016,Prozent,Frauenanteil in der Justiz,,,6
2015,Prozent,Frauenanteil in der Justiz,,"Oberste/Verfassungsgerichte",7.1
2016,Prozent,Frauenanteil in der Justiz,,"Oberste/Verfassungsgerichte",6.1
2015,Prozent,Frauenanteil in der Justiz,,Übergeordnete Gerichte,7.2
2016,Prozent,Frauenanteil in der Justiz,,Übergeordnete Gerichte,6.2
2015,Prozent,Frauenanteil in der Justiz,,Untergeordnete Gerichte,7.3
2016,Prozent,Frauenanteil in der Justiz,,Untergeordnete Gerichte,6.3
2015,Keine Einheit,Verhältnis von Frauen im Deutschen Bundestag,,,4
2016,Keine Einheit,Verhältnis von Frauen im Deutschen Bundestag,,,3
2015,Keine Einheit,Verhältnis von Frauen im Bundesrat,,,5
2016,Keine Einheit,Verhältnis von Frauen im Bundesrat,,,4
2015,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,,,6
2016,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,,,5
2015,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,6.2
2016,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,5.2
2015,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,Polizei,,6.3
2016,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,Polizei,,5.3
2015,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,6.4
2016,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,5.4
2015,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,"Gesundheit, Umwelt, Sport und Erholung",,6.5
2016,Keine Einheit,Verhältnis von Frauen im öffentlichen Dienst,"Gesundheit, Umwelt, Sport und Erholung",,5.5
2015,Keine Einheit,Verhältnis von Frauen in der Justiz,,,7
2016,Keine Einheit,Verhältnis von Frauen in der Justiz,,,6
2015,Keine Einheit,Verhältnis von Frauen in der Justiz,,"Oberste/Verfassungsgerichte",7.1
2016,Keine Einheit,Verhältnis von Frauen in der Justiz,,"Oberste/Verfassungsgerichte",6.1
2015,Keine Einheit,Verhältnis von Frauen in der Justiz,,Übergeordnete Gerichte,7.2
2016,Keine Einheit,Verhältnis von Frauen in der Justiz,,Übergeordnete Gerichte,6.2
2015,Keine Einheit,Verhältnis von Frauen in der Justiz,,Untergeordnete Gerichte,7.3
2016,Keine Einheit,Verhältnis von Frauen in der Justiz,,Untergeordnete Gerichte,6.3
